run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
pilot-seed0,centered__upper_narrow_direction__oracle_soft,centered,upper_narrow_direction,oracle,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.515313894022256
pilot-seed0,centered__upper_narrow_direction__learned_20,centered,upper_narrow_direction,learned20,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.496737712062895
pilot-seed0,centered__upper_narrow_width__oracle_soft,centered,upper_narrow_width,oracle,continuous,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.495806130056735
pilot-seed0,centered__upper_narrow_width__learned_20,centered,upper_narrow_width,learned20,continuous,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.522504713037051
pilot-seed0,centered__upper_wide_direction__oracle_soft,centered,upper_wide_direction,oracle,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.510943636880256
pilot-seed0,centered__upper_wide_direction__learned_20,centered,upper_wide_direction,learned20,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.52746092597954
pilot-seed0,centered__upper_wide_width__oracle_soft,centered,upper_wide_width,oracle,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.524975445878226
pilot-seed0,centered__upper_wide_width__learned_20,centered,upper_wide_width,learned20,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.503487555950414
pilot-seed0,centered__lower_narrow_direction__oracle_soft,centered,lower_narrow_direction,oracle,continuous,soft,8,4,1.0,16,16,7,0.4375,0,1.0,11.499843033961952
pilot-seed0,centered__lower_narrow_direction__learned_20,centered,lower_narrow_direction,learned20,continuous,soft,8,4,1.0,16,16,8,0.5,0,1.0,11.547038334945682
pilot-seed0,centered__lower_narrow_width__oracle_soft,centered,lower_narrow_width,oracle,continuous,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.720295421022456
pilot-seed0,centered__lower_narrow_width__learned_20,centered,lower_narrow_width,learned20,continuous,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.53215033392189
pilot-seed0,centered__lower_wide_direction__oracle_soft,centered,lower_wide_direction,oracle,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.512101806991268
pilot-seed0,centered__lower_wide_direction__learned_20,centered,lower_wide_direction,learned20,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.55425119312713
pilot-seed0,centered__lower_wide_width__oracle_soft,centered,lower_wide_width,oracle,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.508683944994118
pilot-seed0,centered__lower_wide_width__learned_20,centered,lower_wide_width,learned20,continuous,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.504660788923502
pilot-seed0,gaussian__upper_narrow_direction__oracle_soft,gaussian,upper_narrow_direction,oracle,continuous,soft,8,4,1.0,16,16,2,0.125,0,1.0,11.51085822796449
pilot-seed0,gaussian__upper_narrow_direction__learned_20,gaussian,upper_narrow_direction,learned20,continuous,soft,8,4,1.0,16,16,2,0.125,0,1.0,11.531110990908928
pilot-seed0,gaussian__upper_narrow_width__oracle_soft,gaussian,upper_narrow_width,oracle,continuous,soft,8,4,1.0,16,16,2,0.125,0,1.0,11.621804980037268
pilot-seed0,gaussian__upper_narrow_width__learned_20,gaussian,upper_narrow_width,learned20,continuous,soft,8,4,1.0,16,16,2,0.125,0,1.0,11.525221394142136
pilot-seed0,gaussian__upper_wide_direction__oracle_soft,gaussian,upper_wide_direction,oracle,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.57204631093191
pilot-seed0,gaussian__upper_wide_direction__learned_20,gaussian,upper_wide_direction,learned20,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.50677584798541
pilot-seed0,gaussian__upper_wide_width__oracle_soft,gaussian,upper_wide_width,oracle,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.520802472077776
pilot-seed0,gaussian__upper_wide_width__learned_20,gaussian,upper_wide_width,learned20,continuous,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.537706829956733
pilot-seed0,gaussian__lower_narrow_direction__oracle_soft,gaussian,lower_narrow_direction,oracle,continuous,soft,8,4,1.0,16,16,1,0.0625,0,1.0,11.513432345062029
pilot-seed0,gaussian__lower_narrow_direction__learned_20,gaussian,lower_narrow_direction,learned20,continuous,soft,8,4,1.0,16,16,1,0.0625,0,1.0,11.541702621965669
pilot-seed0,gaussian__lower_narrow_width__oracle_soft,gaussian,lower_narrow_width,oracle,continuous,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.520193118951283
